11;Item11;8
12;Item12;3
13;Item13;5
14;Item14;1
22;Item22;2
24;Item24;0
38;Item38;7
63;Item63;2
77;Item77;0
85;Item85;1
98;Item98;0
105;Item105;7
107;Item107;1
114;Item114;4
120;Item120;1
121;Item121;7
122;Item122;7
134;Item134;4
141;Item141;5
146;Item146;7
153;Item153;3
155;Item155;2
161;Item161;5
180;Item180;6
187;Item187;3
194;Item194;0
197;Item197;2
238;Item238;5
243;Item243;0
268;Item268;7
272;Item272;3
274;Item274;3
275;Item275;3
278;Item278;4
280;Item280;3
329;Item329;6
393;Item393;5
414;Item414;0
424;Item424;1
453;Item453;2
462;Item462;4
550;Item550;5
557;Item557;6
558;Item558;3
568;Item568;3
581;Item581;4
585;Item585;6
597;Item597;4
601;Item601;5
602;Item602;4
603;Item603;6
604;Item604;0
607;Item607;1
629;Item629;7
640;Item640;1
641;Item641;5
664;Item664;7
671;Item671;7
672;Item672;4
680;Item680;4
745;Item745;0
752;Item752;6
786;Item786;1
788;Item788;5
807;Item807;6
808;Item808;7
809;Item809;7
812;Item812;2
854;Item854;3
857;Item857;4
862;Item862;4
954;Item954;8
955;Item955;7
1422;Item1422;5
1572;Item1572;0
1597;Item1597;0
1637;Item1637;0
1891;Item1891;5
1892;Item1892;7
1894;Item1894;8
1900;Item1900;5
2024;Item2024;1
2164;Item2164;8
2501;Item2501;4
2502;Item2502;0
3049;Item3049;5
4327;Item4327;1
5503;Item5503;7
7443;Item7443;0
8358;Item8358;4
8467;Item8467;1
8587;Item8587;1
9331;Item9331;8
9741;Item9741;7
9802;Item9802;5
9806;Item9806;8
10020;Item10020;8
36657;Item36657;2
36658;Item36658;4
36955;Item36955;7
